Ts_K,W_m_per_h,Qlc_W
100.0,0.5,6489.951865288488
100.0,1.5,8066.02064863324
100.0,2.5,9414.535487911342
100.0,3.5,10490.429268337748
100.0,5.0,11815.050334051104
150.0,0.5,4088.985465944868
150.0,1.5,5568.197657350911
150.0,2.5,6568.753594451544
150.0,3.5,7361.052960047446
150.0,5.0,8339.281998585755
200.0,0.5,2308.0618069323377
200.0,1.5,3232.9415695682824
200.0,2.5,3842.4322687039257
200.0,3.5,4326.9879252105975
200.0,5.0,4927.261409238218
250.0,0.5,702.0616355689119
250.0,1.5,998.9141715029631
250.0,2.5,1195.5000759664538
250.0,3.5,1352.4259425003163
250.0,5.0,1547.493901641493
